date,hour
2015-04-04,02:00:00
2015-04-04,03:00:00
2015-04-04,04:00:00
2015-04-04,05:00:00
2015-04-04,06:00:00
2015-04-04,07:00:00
2015-04-04,08:00:00
2015-04-04,09:00:00
2015-04-04,10:00:00
2015-04-08,19:00:00
2015-04-08,20:00:00
2015-04-09,09:00:00
2015-04-09,10:00:00
2015-04-09,11:00:00
2015-04-09,12:00:00
2015-04-13,02:00:00
2015-04-13,03:00:00
2015-04-13,04:00:00
2015-04-13,05:00:00
2015-04-13,06:00:00
2015-04-13,23:00:00
2015-04-14,00:00:00
2015-04-14,01:00:00
2015-04-14,02:00:00
2015-04-14,03:00:00
2015-04-14,04:00:00
2015-04-14,05:00:00
2015-04-14,06:00:00
2015-05-28,18:00:00
2015-05-28,19:00:00
2015-05-28,20:00:00
2015-05-28,21:00:00

